"effect_id","artifact_id","application_mode","recipient_scope","repeat_rule","selection_rule","recipient_monster_id","target_skill_id","outcome_skill_id"
"id","id","enum:ArtifactEffectApplicationMode","enum:ArtifactEffectRecipient","enum:ArtifactEffectRepeatRule","enum:ArtifactEffectSelectionRule","string","skill_id","skill_id"
"elemental-prism-fire-effect","elemental-prism","SkillModifier","AllAllies","None","PartyDominantAttribute","","",""
"elemental-prism-lightning-effect","elemental-prism","SkillModifier","AllAllies","None","PartyDominantAttribute","","",""
"elemental-prism-ice-effect","elemental-prism","SkillModifier","AllAllies","None","PartyDominantAttribute","","",""
"elemental-prism-darkness-effect","elemental-prism","SkillModifier","AllAllies","None","PartyDominantAttribute","","",""
"elemental-prism-holy-effect","elemental-prism","SkillModifier","AllAllies","None","PartyDominantAttribute","","",""
"ember-crown-effect","ember-crown","SkillModifier","AllAllies","None","None","","",""
"ember-crown-exposure-effect","ember-crown","SkillModifier","AllAllies","None","None","","",""
"frost-lens-effect","frost-lens","SkillModifier","AllAllies","None","None","","",""
"frost-lens-status-effect","frost-lens","SkillModifier","AllAllies","None","None","","",""
"storm-capacitor-effect","storm-capacitor","SkillModifier","AllAllies","None","None","","",""
"storm-capacitor-shock-effect","storm-capacitor","SkillModifier","AllAllies","None","None","","",""
"radiant-chalice-effect","radiant-chalice","SkillModifier","AllAllies","None","None","","",""
"radiant-chalice-shield-effect","radiant-chalice","SkillModifier","AllAllies","None","None","","",""
"black-candlestick-effect","black-candlestick","SkillModifier","AllAllies","None","None","","",""
"black-candlestick-mark-effect","black-candlestick","SkillModifier","AllAllies","None","None","","",""
"spirit-elixir-effect","spirit-elixir","SkillModifier","AllAllies","None","None","","",""
"spirit-elixir-contract-count-effect","spirit-elixir","SkillModifier","AllAllies","SynergyArtifactCount","None","","",""
"rift-gem-effect","rift-gem","PassiveTrigger","Stage","None","None","","",""
"elemental-codex-effect","elemental-codex","SkillModifier","AllAllies","DistinctRepresentativeAttributeCount","None","","",""
"resonance-compass-effect","resonance-compass","PassiveTrigger","AllAllies","None","None","","",""
"glass-heart-effect","glass-heart","SkillModifier","AllAllies","None","None","","",""
"prophets-eye-effect","prophets-eye","SkillModifier","AllAllies","None","None","","",""
"execution-ring-effect","execution-ring","SkillModifier","AllAllies","None","None","","",""
"sharp-chalice-effect","sharp-chalice","PassiveTrigger","AllAllies","None","None","","",""
"red-scope-effect","red-scope","SkillModifier","AllAllies","None","None","","",""
"cracked-crown-effect","cracked-crown","SkillModifier","AllAllies","None","None","","",""
"execution-ledger-effect","execution-ledger","SkillModifier","AllAllies","None","None","","",""
"silver-needle-effect","silver-needle","SkillModifier","AllAllies","None","None","","",""
"starlight-whetstone-effect","starlight-whetstone","SkillModifier","AllAllies","None","None","","",""
"coin-of-fate-effect","coin-of-fate","PassiveTrigger","AllAllies","None","None","","",""
"quantum-computation-effect","quantum-computation","SkillModifier","SpecificMonster","None","None","eve","",""
"absolute-zero-circuit-effect","absolute-zero-circuit","SkillModifier","SpecificMonster","None","None","eve","",""
"nameless-ledger-effect","nameless-ledger","SkillModifier","SpecificMonster","None","None","vega","vega-e",""
"black-execution-platform-effect","black-execution-platform","SkillModifier","SpecificMonster","None","None","vega","vega-d",""
"convection-arrowhead-sein-a-effect","convection-arrowhead","SkillModifier","SpecificMonster","None","None","sein","sein-a",""
"convection-arrowhead-sein-b-effect","convection-arrowhead","SkillModifier","SpecificMonster","None","None","sein","sein-b",""
"dooms-ember-effect","dooms-ember","SkillModifier","SpecificMonster","None","None","sein","sein-e",""
"archangel-sigil-ariel-b-effect","archangel-sigil","SkillModifier","SpecificMonster","None","None","ariel","ariel-b",""
"archangel-sigil-ariel-e-effect","archangel-sigil","SkillModifier","SpecificMonster","None","None","ariel","ariel-e",""
"hymn-baton-effect","hymn-baton","SkillModifier","SpecificMonster","None","None","ariel","ariel-c",""
"shattering-glove-effect","shattering-glove","SkillModifier","SpecificMonster","None","None","rin","rin-a",""
"martial-artists-breath-effect","martial-artists-breath","PassiveTrigger","SpecificMonster","None","None","rin","",""
"pure-white-shield-effect","pure-white-shield","PassiveTrigger","AllAllies","None","None","","",""
"sanctuary-fragment-effect","sanctuary-fragment","SkillModifier","AllAllies","None","None","","",""
"unbreakable-promise-effect","unbreakable-promise","PassiveTrigger","AllAllies","None","None","","",""
"guardians-censer-effect","guardians-censer","SkillModifier","AllAllies","None","None","","",""
"blue-cross-effect","blue-cross","PassiveTrigger","AllAllies","None","None","","",""
"pilgrims-cloak-effect","pilgrims-cloak","SkillModifier","AllAllies","None","None","","",""
"faded-gate-effect","faded-gate","PassiveTrigger","AllAllies","None","None","","",""
"reflection-mirror-effect","reflection-mirror","PassiveTrigger","AllAllies","None","None","","",""
"prayer-stone-effect","prayer-stone","SkillModifier","AllAllies","None","None","","",""
"sentinels-bell-effect","sentinels-bell","PassiveTrigger","AllAllies","None","None","","",""
"infinite-shell-effect","infinite-shell","SkillModifier","AllAllies","None","None","","",""
"overheated-chamber-effect","overheated-chamber","PassiveTrigger","AllAllies","None","None","","",""
"double-barrel-core-effect","double-barrel-core","SkillModifier","AllAllies","None","None","","",""
"rapid-loader-effect","rapid-loader","SkillModifier","AllAllies","None","None","","",""
"piercing-feather-effect","piercing-feather","SkillModifier","AllAllies","None","None","","",""
"barrage-blueprint-effect","barrage-blueprint","SkillModifier","AllAllies","None","None","","",""
"blessed-quiver-effect","blessed-quiver","SkillModifier","AllAllies","None","None","","",""
"lightning-magazine-effect","lightning-magazine","PassiveTrigger","AllAllies","None","None","","",""
"execution-round-effect","execution-round","SkillModifier","AllAllies","None","None","","",""
"revolving-chamber-effect","revolving-chamber","SkillModifier","AllAllies","None","None","","",""
