"monster_id","owner_kind","owner_id","graph_kind","graph_index","target_skill_id","node_order","node_type_id","arg_1","arg_2","arg_3","arg_4","arg_5","arg_6","arg_7","arg_8","arg_9","arg_10","arg_11","arg_12","excludes_active_choice_id"
"string","enum","string","enum","int","skill_id","int","string","string","string","string","string","string","string","string","string","string","string","string","string","choice_id"
"eve","Choice","eve-b-trait-1","Plan","0","eve-b","1","DamageMultiplier","1.25","","","","","","","","","","","",""
"eve","Choice","eve-b-trait-1","Plan","0","eve-b","2","ShotIntervalMultiplier","0.8","","","","","","","","","","","",""
"eve","Choice","eve-b-trait-2","Plan","0","eve-b","1","DamageMultiplier","1.3","","","","","","","","","","","",""
"eve","Choice","eve-b-trait-2","Plan","0","eve-b","2","RadiusMultiplier","1.3","","","","","","","","","","","",""
"eve","Choice","eve-b-trait-3","Plan","0","eve-b","1","CooldownMultiplier","0.74074074","","","","","","","","","","","",""
"eve","Choice","eve-b-trait-3","Plan","0","eve-b","2","DurationMultiplier","1.15","","","","","","","","","","","",""
"eve","Choice","eve-b-trait-4","Plan","0","eve-b","1","DamageMultiplier","2","","","","","","","","","","","",""
"eve","Choice","eve-b-trait-4","Plan","0","eve-b","2","DurationMultiplier","0.5","","","","","","","","","","","",""
"eve","Choice","eve-b-trait-5","Plan","0","eve-b","1","CooldownMultiplier","0.76923077","","","","","","","","","","","",""
"eve","Choice","eve-b-trait-5","Plan","0","eve-b","2","ShotIntervalMultiplier","0.83333","","","","","","","","","","","",""
"eve","Choice","eve-b-master-1","Plan","0","eve-b","1","DamageMultiplier","1.75","","","","","","","","","","","",""
"eve","Choice","eve-b-master-1","Plan","0","eve-b","2","DurationMultiplier","0.55","","","","","","","","","","","",""
"eve","Choice","eve-b-master-1","Plan","0","eve-b","3","ShotIntervalMultiplier","0.57143","","","","","","","","","","","",""
"eve","Choice","eve-b-master-2","Effect","0","eve-b","1","StatusModifier","","","","","","","","","","","","",""
