"choice_id","monster_id","skill_id","target_skill_id","choice_group","sort_order","title","description_text","runtime_support_state","runtime_support_notes","damage_multiplier","cooldown_multiplier","magazine_bonus","additional_projectile_bonus","pierce_bonus","reload_time_multiplier","shot_interval_multiplier","radius_multiplier","damage_delay_multiplier","crit_chance_bonus","conditional_damage_multiplier","conditional_target_status_id","conditional_target_status_min_stacks","consecutive_hit_bonus_rate","consecutive_hit_max"
"id","string","string","string","enum:PakuriCsvChoiceGroup","int","string","string","string","string","float","float","int","int","int","float","float","float","","float","float","string","int","float","float"
"sein-a-trait-1","sein","sein-a","sein-a","ActiveEnhancement","0","특성 1","위력 +25%","RuntimeImplemented","Shared projectile choice damage_multiplier applies Sein-A trait 1.","1.25","","","","","","","","","","","","","",""
"sein-a-trait-2","sein","sein-a","sein-a","ActiveEnhancement","1","특성 2","탄창 수 +4","RuntimeImplemented","Shared projectile choice magazine_bonus applies Sein-A trait 2.","","","4","","","","","","","","","","","",""
"sein-a-trait-3","sein","sein-a","sein-a","ActiveEnhancement","2","특성 3","재장전 속도 +30%","RuntimeImplemented","Shared projectile choice reload_time_multiplier applies Sein-A trait 3.","","","","","","0.7692307692307692","","","","","","","","",""
"sein-a-trait-4","sein","sein-a","sein-a","ActiveEnhancement","3","특성 4","관통 수 +1, 위력 +10%","RuntimeImplemented","Shared projectile choice damage_multiplier and pierce_bonus apply Sein-A trait 4.","1.1","","","","1","","","","","","","","","",""
"sein-a-trait-5","sein","sein-a","sein-a","ActiveEnhancement","4","특성 5","발사 간격 -20%, 위력 -10%","RuntimeImplemented","Shared projectile choice damage_multiplier and shot_interval_multiplier apply Sein-A trait 5.","0.9","","","","","","0.8","","","","","","","",""
"sein-a-master-1","sein","sein-a","sein-a","ActiveMaster","0","백열 화살","위력 +55%, 관통 수 +1","RuntimeImplemented","Shared projectile choice damage_multiplier and pierce_bonus apply Sein-A master 1.","1.55","","","","1","","","","","","","","","",""
"sein-a-master-2","sein","sein-a","sein-a","ActiveMaster","1","폭염 화살","적중 시 작은 폭발 발생, 폭발은 50% 화염 피해","RuntimeImplemented","Shared OnOutgoingDamage SingleAttack trigger applies 50% Fire explosion using Assets/Prefab/Skill/Sein/Sein_A_Master-2.prefab.","","","","","","","","","","","","","","",""
"sein-b-trait-1","sein","sein-b","sein-b","ActiveEnhancement","0","특성 1","탄환 수 +2","RuntimeImplemented","탄환 수 +2 -> shared burst projectile count modifier.","","","","2","","","","","","","","","","",""
"sein-b-trait-2","sein","sein-b","sein-b","ActiveEnhancement","1","특성 2","위력 +25%","RuntimeImplemented","위력 +25% -> shared projectile damage modifier.","1.25","","","","","","","","","","","","","",""
"sein-b-trait-3","sein","sein-b","sein-b","ActiveEnhancement","2","특성 3","재장전 속도 +30%","RuntimeImplemented","재장전 속도 +30% -> shared reload time multiplier.","","","","","","0.7692307692307692","","","","","","","","",""
"sein-b-trait-4","sein","sein-b","sein-b","ActiveEnhancement","3","특성 4","발사 간격 -25%","RuntimeImplemented","발사 간격 -25% -> shared shot interval multiplier.","","","","","","","0.75","","","","","","","",""
"sein-b-trait-5","sein","sein-b","sein-b","ActiveEnhancement","4","특성 5","같은 대상에게 연속 적중 시 피해 +8%, 최대 +40%","RuntimeImplemented","Same-target consecutive projectile hits gain +8% damage up to +40% through shared runtime consecutive-hit tracking.","","","","","","","","","","","","","","0.08","0.4"
"sein-b-master-1","sein","sein-b","sein-b","ActiveMaster","0","포화 사격","탄환 수 +4, 위력 -20%","RuntimeImplemented","탄환 수 +4 and 위력 -20% -> shared burst projectile count and damage modifiers.","0.8","","","4","","","","","","","","","","",""
"sein-b-master-2","sein","sein-b","sein-b","ActiveMaster","1","집중 사격","탄환 수 -2, 위력 +90%, 치명타 확률 +20%","RuntimeImplemented","탄환 수 -2, 위력 +90%, 치명타 확률 +20% -> shared burst projectile count, damage, and crit modifiers.","1.9","","","-2","","","","","","0.2","","","","",""
"sein-c-trait-1","sein","sein-c","sein-c","ActiveEnhancement","0","특성 1","위력 +30%","ReferenceDirect","Reference numeric effect mapped into unified choice CSV.","1.3","","","","","","","","","","","","","",""
"sein-c-trait-2","sein","sein-c","sein-c","ActiveEnhancement","1","특성 2","폭발 반경 +25%","ReferenceDirect","Reference numeric effect mapped into unified choice CSV.","","","","","","","","1.25","","","","","","",""
"sein-c-trait-3","sein","sein-c","sein-c","ActiveEnhancement","2","특성 3","쿨타임 -20%","ReferenceDirect","Reference numeric effect mapped into unified choice CSV.","","0.8","","","","","","","","","","","","",""
"sein-c-trait-4","sein","sein-c","sein-c","ActiveEnhancement","3","특성 4","지연 시간 -40%","ReferenceDirect","Projectile impact delay -40% mapped through shared damage_delay_multiplier.","","","","","","","","","0.6","","","","","",""
"sein-c-trait-5","sein","sein-c","sein-c","ActiveEnhancement","4","특성 5","열풍 화살에 맞은 적에게 위력 +35%","ReferenceDirect","Conditional damage vs targets marked by Sein-A hit status.","","","","","","","","","","","1.35","sein-a-hit-mark","1","",""
"sein-c-master-1","sein","sein-c","sein-c","ActiveMaster","0","낙화 궤적","폭발 후 같은 위치에 2초 동안 작은 화염 지대 생성","SharedExtension","Projectile delayed-impact on-expire residual zone handled by shared projectile/effect runtime.","","","","","","","","","","","","","","",""
"sein-c-master-2","sein","sein-c","sein-c","ActiveMaster","1","관통 궤도","화살 경로상의 적에게 40% 화염 피해 후 폭발","SharedExtension","Projectile on-hit follow-up damage effect handled by shared projectile/effect runtime.","","","","","","","","","","","","","","",""
