"effect_id","skill_id","sort_order","effect_kind","target_side","target_selection","target_shape","center_mode","visual_anchor_mode","effect_timing","delay_seconds","requires_active_choice_id","excludes_active_choice_id","apply_once","condition_status_id","condition_target_side","attribute","base_damage","spell_power_coefficient","damage_multiplier","radius","cover_all","status_effect_id","status_chance","status_effect_label","status_duration_seconds","status_max_stacks","status_stack_amount","status_target_scope","status_merge_policy","shield_amount_refresh_policy","status_action_speed_bonus","status_spell_power_bonus","status_damage_bonus_rate","status_shield_received_bonus","status_damage_taken_bonus","skill_effect_prefab_path","runtime_support_state","runtime_support_notes","condition_skill_attribute","status_flat_element_resist_reduction","status_critical_chance_bonus","condition_status_source_skill_id"
"id","string","int","enum:SkillMultiEffectKind","enum:SkillMultiEffectTargetSide","enum:SkillMultiEffectTargetSelection","enum:SkillMultiEffectTargetShape","enum:SkillMultiEffectCenterMode","enum:SkillMultiEffectVisualAnchorMode","enum:SkillMultiEffectTiming","float","string","string","bool","string","enum:SkillMultiEffectTargetSide","enum:DamageAttribute","float","float","float","float","bool","string","float","string","float","int","int","string","string","string","float","float","float","float","float","asset_path","string","string","string","float","float",""
"ariel-a-master-2-holy-exposure-on-hit","ariel-a","11","Status","Enemy","EventTarget","Single","EffectTarget","AppliedTargets","OnCast","0","ariel-a-master-2","","false","","Enemy","Holy","0","0","1","0","false","holy-exposure","1","신성 노출","0","1","1","","same_source_refresh","","0","0","0","0","0","","RuntimeImplemented","Ariel A master2 applies holy exposure to the event target through a trigger-bound status effect; +15% Holy damage taken is composed by normalized node.","","","",""
"ariel-b-shielded-holy-trait5","ariel-b","10","Status","AllAllies","Owner","Battlefield","Caster","AppliedTargets","OnCast","0","ariel-b-trait-5","","false","shield","AllAllies","Holy","0","0","1","0","true","passive-buff","1","Ariel B Shielded Holy Damage","5","1","1","all_allies","same_source_refresh","","0","0","0.12","0","0","","RuntimeImplemented","Ariel-B Trait 5 grants shielded allies +12% outgoing Holy damage for 5s after Radiant Shield.","","","",""
"ariel-c-blessing-action-default","ariel-c","10","Status","AllAllies","Owner","Battlefield","PrimarySkillCenter","AppliedTargets","OnCast","0","","ariel-c-master-1","false","","AllAllies","Holy","0","0","1","0","true","blessing","1","축복","4","1","1","all_allies","same_source_refresh","","0.12","0","0","0","0","Assets/Prefab/Skill/Ariel/Ariel_C-Buff.prefab","RuntimeImplemented","Ariel C pilot: base blessing now composes trait2 action speed and trait3/H trait3 duration through normalized choice nodes.","","","",""
"ariel-c-blessing-action-trait3","ariel-c","11","Status","AllAllies","Owner","Battlefield","PrimarySkillCenter","AppliedTargets","OnCast","0","","","false","","AllAllies","Holy","0","0","1","0","true","blessing","1","축복","6","1","1","all_allies","same_source_refresh","","0.12","0","0","0","0","Assets/Prefab/Skill/Ariel/Ariel_C-Buff.prefab","MigratedToEffectBinding","Disabled after Ariel C pilot; behavior composes through base effect rows plus normalized choice nodes.","","","",""
"ariel-c-blessing-action-trait2","ariel-c","12","Status","AllAllies","Owner","Battlefield","PrimarySkillCenter","AppliedTargets","OnCast","0","","","false","","AllAllies","Holy","0","0","1","0","true","blessing","1","축복","4","1","1","all_allies","same_source_refresh","","0.06","0","0","0","0","","MigratedToEffectBinding","Disabled after Ariel C pilot; behavior composes through base effect rows plus normalized choice nodes.","","","",""
"ariel-c-blessing-action-trait2-trait3","ariel-c","13","Status","AllAllies","Owner","Battlefield","PrimarySkillCenter","AppliedTargets","OnCast","0","","","false","","AllAllies","Holy","0","0","1","0","true","blessing","1","축복","6","1","1","all_allies","same_source_refresh","","0.06","0","0","0","0","","MigratedToEffectBinding","Disabled after Ariel C pilot; behavior composes through base effect rows plus normalized choice nodes.","","","",""
"ariel-c-blessing-action-h-trait3","ariel-c","14","Status","AllAllies","Owner","Battlefield","PrimarySkillCenter","AppliedTargets","OnCast","0","","","false","","AllAllies","Holy","0","0","1","0","true","blessing","1","축복","6","1","1","all_allies","same_source_refresh","","0.12","0","0","0","0","Assets/Prefab/Skill/Ariel/Ariel_C-Buff.prefab","MigratedToEffectBinding","Disabled after Ariel C pilot; behavior composes through base effect rows plus normalized choice nodes.","","","",""
"ariel-c-shielded-holy-trait5","ariel-c","14","Status","AllAllies","Owner","Battlefield","PrimarySkillCenter","AppliedTargets","OnCast","0","ariel-c-trait-5","","false","shield","AllAllies","Holy","0","0","1","0","true","blessing","1","신성 피해 증가","4","1","1","all_allies","same_source_refresh","","0","0","0.1","0","0","","RuntimeImplemented","Ariel C pilot: trait5 holy damage status now gets trait3/H trait3 duration through normalized DurationBonus nodes.","","","",""
"ariel-c-blessing-action-trait3-h-trait3","ariel-c","15","Status","AllAllies","Owner","Battlefield","PrimarySkillCenter","AppliedTargets","OnCast","0","","","false","","AllAllies","Holy","0","0","1","0","true","blessing","1","축복","8","1","1","all_allies","same_source_refresh","","0.12","0","0","0","0","Assets/Prefab/Skill/Ariel/Ariel_C-Buff.prefab","MigratedToEffectBinding","Disabled after Ariel C pilot; behavior composes through base effect rows plus normalized choice nodes.","","","",""
