"effect_id","skill_id","sort_order","effect_kind","target_side","target_selection","target_shape","center_mode","visual_anchor_mode","effect_timing","requires_active_choice_id","requires_passive_skill_id","condition_status_id","condition_target_side","attribute","cover_all","status_effect_id","status_chance","status_effect_label","status_duration_seconds","status_max_stacks","status_stack_amount","status_target_scope","status_merge_policy","shield_amount_refresh_policy","status_action_speed_bonus","status_move_speed_bonus","status_attack_power_bonus","status_damage_bonus_rate","status_damage_taken_bonus","status_element_resist_reduction","runtime_support_state","runtime_support_notes","status_critical_chance_bonus","status_outgoing_additional_damage_multiplier","status_outgoing_additional_damage_attribute","condition_health_ratio_max","condition_hit_count_min","status_critical_damage_bonus"
"id","string","int","enum:SkillMultiEffectKind","enum:SkillMultiEffectTargetSide","enum:SkillMultiEffectTargetSelection","enum:SkillMultiEffectTargetShape","enum:SkillMultiEffectCenterMode","enum:SkillMultiEffectVisualAnchorMode","enum:SkillMultiEffectTiming","string","string","string","enum:SkillMultiEffectTargetSide","enum:DamageAttribute","bool","string","float","string","float","int","int","string","string","string","float","float","float","float","float","float","string","string","float","float","enum:DamageAttribute","float","int","float"
"rin-b-trait2-action-speed","rin-b","10","Status","AllAllies","Owner","Battlefield","PrimarySkillCenter","AppliedTargets","OnCast","rin-b-trait-2","","","AllAllies","Physical","true","action-speed-up","1","행동속도 증가","5","1","1","all_allies","same_source_refresh","","0.1","","","","","","ReferenceDirect","Rin-B trait 2 adds +10% ally action speed for the scaled howl duration.","","","","","",""
"rin-b-trait4-self-attack","rin-b","11","Status","Self","Owner","Single","PrimarySkillCenter","AppliedTargets","OnCast","rin-b-trait-4","","","Self","Physical","false","passive-buff","1","하울링 공격력","5","1","1","self","same_source_refresh","","","","0.15","","","","ReferenceDirect","Rin-B trait 4 adds a self-only +15% attack power status for the scaled howl duration.","","","","","",""
"rin-b-trait5-crit","rin-b","12","Status","AllAllies","Owner","Battlefield","PrimarySkillCenter","AppliedTargets","OnCast","rin-b-trait-5","","","AllAllies","Physical","true","passive-buff","1","하울링 치명타","5","1","1","all_allies","same_source_refresh","","","","","","","","ReferenceDirect","Rin-B trait 5 adds +8% ally critical chance for the scaled howl duration.","0.08","","","","",""
"rin-b-master1-roar","rin-b","13","Status","AllAllies","Owner","Battlefield","PrimarySkillCenter","AppliedTargets","OnCast","rin-b-master-1","","","AllAllies","Physical","true","passive-buff","1","전장의 포효","5","1","1","all_allies","same_source_refresh","","0.15","","","0.18","","","ReferenceDirect","Rin-B master 1 adds +15% ally action speed and +18% physical outgoing damage for the scaled howl duration.","","","","","",""
"rin-b-master2-abyss","rin-b","14","Status","AllAllies","Owner","Battlefield","PrimarySkillCenter","AppliedTargets","OnCast","rin-b-master-2","","","AllAllies","Physical","true","passive-buff","1","심연 군가","5","1","1","all_allies","same_source_refresh","","-0.05","","","","","","ReferenceDirect","Rin-B master 2 converts ally physical hits into additional 25% darkness follow-up damage for the scaled howl duration.","","0.25","Darkness","","",""
"rin-c-master2-slow","rin-c","10","Status","Enemy","Nearest","Single","EffectTarget","AppliedTargets","OnHit","rin-c-master-2","","","Enemy","Physical","false","slow","1","둔화","1.5","1","1","","same_source_refresh","","","-0.2","","","","","ReferenceDirect","Rin-C master 2 applies a 1.5s 20% slow to hit targets.","","","","","",""
"rin-e-master2-slow","rin-e","10","Status","Enemy","Nearest","Single","EffectTarget","AppliedTargets","OnHit","rin-e-master-2","","","Enemy","Darkness","false","slow","1","둔화","2","1","1","","same_source_refresh","take_highest","0","-0.25","0","0","0","0","RuntimeImplemented","Rin-E master 2 applies -25% move speed for 2s to each hit enemy through SingleAttack OnHit status effects.","0","0","Physical","","",""
"rin-j-physical-defense-down","rin-e","10","Status","Enemy","Owner","Battlefield","Caster","Center","OnHit","","rin-j","","Enemy","Physical","true","passive-buff","1","Passive Buff","4","1","1","","same_source_refresh","","0","0","0","0","0","0.18","RuntimeImplemented","Rin F-J passive shared status/effect implementation.","0","0","Physical","0","0","0"
"rin-j-physical-defense-down-trait1","rin-e","11","Status","Enemy","Owner","Battlefield","Caster","Center","OnHit","rin-j-trait-1","rin-j","","Enemy","Physical","true","passive-buff","1","Passive Buff","4","1","1","","same_source_refresh","","0","0","0","0","0","0.08","RuntimeImplemented","Rin F-J passive shared status/effect implementation.","0","0","Physical","0","0","0"
