"effect_id","skill_id","sort_order","effect_kind","target_side","target_selection","target_shape","center_mode","visual_anchor_mode","effect_timing","delay_seconds","enabled_by_default","requires_active_choice_id","excludes_active_choice_id","requires_passive_skill_id","excludes_passive_skill_id","apply_once","condition_status_id","condition_target_side","attribute","base_damage","attack_power_coefficient","spell_power_coefficient","damage_multiplier","radius","cover_all","status_effect_id","status_chance","status_effect_label","status_effect_prefab_path","status_duration_seconds","status_max_stacks","status_stack_amount","status_target_scope","status_merge_policy","shield_amount_refresh_policy","status_action_speed_bonus","status_move_speed_bonus","status_attack_power_bonus","status_spell_power_bonus","status_damage_bonus_rate","status_shield_received_bonus","status_damage_taken_bonus","status_critical_damage_taken_bonus","status_critical_resistance_bonus","status_element_resist_reduction","status_element_damage_taken_bonus","skill_effect_prefab_path","runtime_support_state","runtime_support_notes","condition_skill_attribute","status_ailment_resistance_bonus","status_flat_element_resist_reduction","status_critical_chance_bonus"
"id","string","int","enum:SkillMultiEffectKind","enum:SkillMultiEffectTargetSide","enum:SkillMultiEffectTargetSelection","enum:SkillMultiEffectTargetShape","enum:SkillMultiEffectCenterMode","enum:SkillMultiEffectVisualAnchorMode","enum:SkillMultiEffectTiming","float","bool","string","string","string","string","bool","string","enum:SkillMultiEffectTargetSide","enum:DamageAttribute","float","float","float","float","float","bool","string","float","string","asset_path","float","int","int","string","string","string","float","float","float","float","float","float","float","float","float","float","float","asset_path","string","string","string","float","float","float"
"ariel-e-shield-base","ariel-e","10","Status","AllAllies","Owner","Battlefield","PrimarySkillCenter","AppliedTargets","OnCast","0","true","","ariel-e-trait-2;ariel-e-master-2","","","false","","AllAllies","Holy","50","0","1.6","1","0","true","shield","1","방어막","","6","1","1","all_allies","same_source_refresh","take_highest","0","0","0","0","0","0","0","0","0","0","0","Assets/Prefab/Skill/Ariel/Ariel_B.prefab","ReferenceDirect","Base Ariel-E all-ally shield 50 + spell power * 1.6 for 6s from e-archangel-descent.md.",,,,
"ariel-e-shield-trait2","ariel-e","11","Status","AllAllies","Owner","Battlefield","PrimarySkillCenter","AppliedTargets","OnCast","0","false","ariel-e-trait-2","ariel-e-master-2","","","false","","AllAllies","Holy","50","0","1.6","1.3","0","true","shield","1","방어막","","6","1","1","all_allies","same_source_refresh","take_highest","0","0","0","0","0","0","0","0","0","0","0","Assets/Prefab/Skill/Ariel/Ariel_B.prefab","ReferenceDirect","Ariel-E Trait 2 increases the all-ally shield amount by 30%.",,,,
"ariel-e-shield-master2","ariel-e","12","Status","AllAllies","Owner","Battlefield","PrimarySkillCenter","AppliedTargets","OnCast","0","false","ariel-e-master-2","ariel-e-trait-2","","","false","","AllAllies","Holy","50","0","1.6","0.7","0","true","shield","1","방어막","","6","1","1","all_allies","same_source_refresh","take_highest","0","0","0","0","0","0","0","0","0","0","0","Assets/Prefab/Skill/Ariel/Ariel_B.prefab","ReferenceDirect","Ariel-E Master 2 reduces the all-ally shield amount by 30%.",,,,
"ariel-e-shield-trait2-master2","ariel-e","13","Status","AllAllies","Owner","Battlefield","PrimarySkillCenter","AppliedTargets","OnCast","0","false","ariel-e-trait-2;ariel-e-master-2","","","","false","","AllAllies","Holy","50","0","1.6","0.91","0","true","shield","1","방어막","","6","1","1","all_allies","same_source_refresh","take_highest","0","0","0","0","0","0","0","0","0","0","0","Assets/Prefab/Skill/Ariel/Ariel_B.prefab","ReferenceDirect","Ariel-E Trait 2 and Master 2 combine to net shield amount x0.91.",,,,
"ariel-e-holy-exposed-damage-trait4","ariel-e","30","Damage","Enemy","Nearest","Battlefield","PrimarySkillCenter","Center","OnCast","0","false","ariel-e-trait-4","","","","false","holy-exposure","Enemy","Holy","58","0","2.4","0.5","0","true","","0","","","0","0","0","","","","0","0","0","0","0","0","0","0","0","0","0","","ReferenceDirect","Ariel-E Trait 4 adds +50% extra Holy damage only to Holy Exposure targets.",,,,
"ariel-e-master1-sanctuary","ariel-e","40","Status","AllAllies","Owner","Battlefield","PrimarySkillCenter","AppliedTargets","OnCast","0","false","ariel-e-master-1","","","","false","","AllAllies","Holy","0","0","0","1","0","true","passive-buff","1","Ariel E Sanctuary","","5","1","1","all_allies","same_source_refresh","","0","0","0","0","0","0","-0.18","0","0","0","0","","ReferenceDirect","Ariel-E Master 1 grants all allies incoming damage -18% for 5s after descent.",,,,
"ariel-e-trait5-extend-shield-duration","ariel-e","50","ExtendStatusDuration","AllAllies","Owner","Battlefield","PrimarySkillCenter","AppliedTargets","OnCast","0","false","ariel-e-trait-5","","","","false","","AllAllies","Holy","0","0","0","1","0","true","shield","1","방어막","","3","1","1","all_allies","same_source_refresh","","0","0","0","0","0","0","0","0","0","0","0","","ReferenceDirect","Ariel-E Trait 5 extends the remaining duration of current ally shield statuses by 3 seconds.",,,,
"ariel-b-shielded-holy-trait5","ariel-b","10","Status","AllAllies","Owner","Battlefield","Caster","AppliedTargets","OnCast","0","false","ariel-b-trait-5","","","","false","shield","AllAllies","Holy","0","0","0","1","0","true","passive-buff","1","Ariel B Shielded Holy Damage","","5","1","1","all_allies","same_source_refresh","","0","0","0","0","0.12","0","0","0","0","0","0","","ReferenceDirect","Ariel-B Trait 5 grants shielded allies +12% outgoing Holy damage for 5s after Radiant Shield.",,,,
"ariel-c-blessing-action-default","ariel-c","10","Status","AllAllies","Owner","Battlefield","PrimarySkillCenter","AppliedTargets","OnCast","0","true","","ariel-c-trait-3;ariel-c-master-1;ariel-h-trait-3","","","false","","AllAllies","Holy","0","0","0","1","0","true","blessing","1","축복","","4","1","1","all_allies","same_source_refresh","","0.12","0","0","0","0","0","0","0","0","0","0","Assets/Prefab/Skill/Ariel/Ariel_C-Buff.prefab","ReferenceDirect","Base Ariel-C all-ally action speed +12% for 4s from c-blessing-wave.md.","","","",""
"ariel-c-blessing-action-trait3","ariel-c","11","Status","AllAllies","Owner","Battlefield","PrimarySkillCenter","AppliedTargets","OnCast","0","false","ariel-c-trait-3","ariel-c-master-1;ariel-h-trait-3","","","false","","AllAllies","Holy","0","0","0","1","0","true","blessing","1","축복","","6","1","1","all_allies","same_source_refresh","","0.12","0","0","0","0","0","0","0","0","0","0","Assets/Prefab/Skill/Ariel/Ariel_C-Buff.prefab","ReferenceDirect","Trait 3 extends the base action speed buff from 4s to 6s.","","","",""
"ariel-c-blessing-action-trait2","ariel-c","12","Status","AllAllies","Owner","Battlefield","PrimarySkillCenter","AppliedTargets","OnCast","0","false","ariel-c-trait-2","ariel-c-trait-3;ariel-c-master-1;ariel-h-trait-3","","","false","","AllAllies","Holy","0","0","0","1","0","true","blessing","1","축복","","4","1","1","all_allies","same_source_refresh","","0.06","0","0","0","0","0","0","0","0","0","0","","ReferenceDirect","Trait 2 adds +6% action speed for the normal 4s duration.","","","",""
"ariel-c-blessing-action-trait2-trait3","ariel-c","13","Status","AllAllies","Owner","Battlefield","PrimarySkillCenter","AppliedTargets","OnCast","0","false","ariel-c-trait-2;ariel-c-trait-3","ariel-c-master-1;ariel-h-trait-3","","","false","","AllAllies","Holy","0","0","0","1","0","true","blessing","1","축복","","6","1","1","all_allies","same_source_refresh","","0.06","0","0","0","0","0","0","0","0","0","0","","ReferenceDirect","Trait 2 action-speed bonus with Trait 3 duration extension.","","","",""
"ariel-c-blessing-action-h-trait3","ariel-c","14","Status","AllAllies","Owner","Battlefield","PrimarySkillCenter","AppliedTargets","OnCast","0","false","ariel-h-trait-3","ariel-c-trait-2;ariel-c-trait-3;ariel-c-master-1","","","false","","AllAllies","Holy","0","0","0","1","0","true","blessing","1","축복","","6","1","1","all_allies","same_source_refresh","","0.12","0","0","0","0","0","0","0","0","0","0","Assets/Prefab/Skill/Ariel/Ariel_C-Buff.prefab","RuntimeImplemented","Ariel-H trait 3 extends Ariel-C blessing duration by 2 seconds.","","","",""
"ariel-c-blessing-action-trait3-h-trait3","ariel-c","15","Status","AllAllies","Owner","Battlefield","PrimarySkillCenter","AppliedTargets","OnCast","0","false","ariel-c-trait-3;ariel-h-trait-3","ariel-c-trait-2;ariel-c-master-1","","","false","","AllAllies","Holy","0","0","0","1","0","true","blessing","1","축복","","8","1","1","all_allies","same_source_refresh","","0.12","0","0","0","0","0","0","0","0","0","0","Assets/Prefab/Skill/Ariel/Ariel_C-Buff.prefab","RuntimeImplemented","Ariel-H trait 3 adds 2 seconds on top of Ariel-C trait 3 blessing duration.","","","",""
"ariel-c-blessing-action-trait2-h-trait3","ariel-c","16","Status","AllAllies","Owner","Battlefield","PrimarySkillCenter","AppliedTargets","OnCast","0","false","ariel-c-trait-2;ariel-h-trait-3","ariel-c-trait-3;ariel-c-master-1","","","false","","AllAllies","Holy","0","0","0","1","0","true","blessing","1","축복","","6","1","1","all_allies","same_source_refresh","","0.06","0","0","0","0","0","0","0","0","0","0","","RuntimeImplemented","Ariel-H trait 3 keeps Ariel-C trait 2 bonus while extending duration by 2 seconds.","","","",""
