"trigger_id","monster_id","source_skill_id","trigger_event","requires_active_choice_id","excludes_active_choice_id","triggered_skill_id","runtime_kind","sort_order","target_side","target_selection","target_shape","center_mode","attribute","base_damage","attack_power_coefficient","spell_power_coefficient","damage_multiplier","damage_source","damage_source_multiplier","tracked_attribute","radius","cover_all","hit_target_count","repeat_count","repeat_interval_seconds","skill_effect_prefab_path","runtime_support_state","runtime_support_notes","condition_status_id","trigger_attribute","proc_chance","internal_cooldown_seconds","require_event_execute"
"id","string","string","enum:SkillTriggerEvent","string","string","string","enum:SkillRuntimeKind","int","enum:SkillMultiEffectTargetSide","enum:SkillMultiEffectTargetSelection","enum:SkillMultiEffectTargetShape","enum:SkillMultiEffectCenterMode","enum:DamageAttribute","float","float","float","float","enum:SkillTriggerDamageSource","float","enum:DamageAttribute","float","bool","string","int","float","asset_path","string","string","string","string","float","float","bool"
"ariel-a-master1-last-shot-explosion","ariel","ariel-a","OnMagazineLastProjectileHit","ariel-a-master-1","","ariel-a-master-1-explosion","SingleAttack","1","Enemy","Nearest","Circle","PrimarySkillCenter","Holy","18","0","1","1","Fixed","0","","3","false","global","2","0.5","Assets/Prefab/Skill/Ariel/Ariel_C.prefab","ReferenceDirect","Ariel-A master 1 last magazine projectile hit repeats a prefab-hitbox SingleAttack explosion twice.","","","","",""
"ariel-b-trait4-shield-expire","ariel","ariel-b","OnShieldExpire","ariel-b-trait-4","","ariel-b-trait-4-expire","SingleAttack","1","Enemy","Nearest","Circle","PrimarySkillCenter","Holy","0","0","0","1","ShieldAppliedAmount","0.6","","3","false","global","1","0","Assets/Prefab/Skill/Ariel/ariel-b-trait-4_Skill.prefab","ReferenceDirect","Ariel-B trait 4 triggers a prefab-hitbox SingleAttack at the expired shield target using applied shield amount x60%.","","","","",""
"ariel-b-master2-shield-absorb-reflect","ariel","ariel-b","OnShieldAbsorb","ariel-b-master-2","","ariel-b-master-2-reflect","SingleAttack","2","Enemy","EventTarget","Single","EffectTarget","Holy","0","0","0","1","ShieldAbsorbedAmount","0.35","","0","false","1","1","0","","ReferenceDirect","Ariel-B master 2 reflects absorbed shield amount x35% Holy damage back to the event attacker.","","","","",""
"ariel-d-master2-mark-expire-burst","ariel","ariel-d","OnStatusExpire","ariel-d-master-2","","ariel-d-master-2-burst","SingleAttack","1","Enemy","EventTarget","Single","EffectTarget","Holy","0","0","0","1","TrackedIncomingDamage","0.2","Holy","0","false","1","1","0","","ReferenceDirect","Ariel-D master 2 deals Holy damage equal to 20% of tracked Holy incoming damage when the mark status expires.","","","","",""
"eve-g-auto-prism-ray","eve","eve-g","OnOutgoingDamage","","eve-g-trait-1","eve-b","LineAttack","10","Enemy","EventTarget","Single","EffectTarget","Lightning","0","0","0","1","Fixed","0","","0","false","1","1","0","","RuntimeImplemented","Eve-G passive automatically routes Eve-B when allies deal Lightning or Ice damage.","","Lightning;Ice","0.04","1.5",""
"eve-g-auto-prism-ray-trait1","eve","eve-g","OnOutgoingDamage","eve-g-trait-1","","eve-b","LineAttack","11","Enemy","EventTarget","Single","EffectTarget","Lightning","0","0","0","1","Fixed","0","","0","false","1","1","0","","RuntimeImplemented","Eve-G trait 1 raises the auto Prism Ray proc chance to 7% while preserving the shared cooldown.","","Lightning;Ice","0.07","1.5",""
"eve-h-freeze-expire-burst","eve","eve-h","OnStatusExpire","eve-h-trait-3","","eve-h-trait-3-burst","SingleAttack","10","Enemy","EventTarget","Single","EffectTarget","Ice","16","0","1","1","Fixed","0","","0","false","1","1","0","","RuntimeImplemented","Eve-H trait 3 deals an Ice burst when Freeze expires on the affected target.","freeze","","1","0",""
"rin-d-master1-kill-burst","rin","rin-d","OnKill","rin-d-master-1","","rin-d-master-1-kill-burst","SingleAttack","1","Enemy","EventTarget","Circle","EffectTarget","Holy","45","2.4","0","0.9","Fixed","0","","0","false","global","1","0","Assets/Prefab/Skill/Rin/Rin_D_master_1.prefab","RuntimeImplemented","Rin-D master 1 reuses the shared OnKill trigger path to spawn a prefab-hitbox Holy burst around the executed target.","","","","","true"

